icd_1,icd_2,ji
N62,C50,0.022900763358778626
N62,D05,0.06666666666666667
F13,F10,0.06521739130434782
F13,F12,0.15789473684210525
F13,F11,0.3157894736842105
F13,F19,1.0
F13,F14,0.3157894736842105
I84,K64,0.8421052631578947
J35,J36,0.13043478260869565
E04,C73,0.07692307692307693
E04,E05,0.125
E04,E01,0.19047619047619047
F17,J44,0.03202846975088968
J43,J45,0.016282225237449117
J43,J44,0.05319148936170213
J18,J96,0.04504504504504504
J18,N17,0.07534246575342465
J96,J44,0.014652014652014652
N17,N18,0.20512820512820512
N17,N19,0.08860759493670886
D50,D64,0.03669724770642202
N92,N80,0.02717391304347826
L03,G63,0.1111111111111111
L03,M86,0.1111111111111111
J20,J44,0.007547169811320755
J44,J45,0.073224043715847
J45,J30,0.1310615989515072
J45,L20,0.19633225458468176
E03,E06,0.023255813953488372
E03,K51,0.05952380952380952
D64,D69,0.04790419161676647
E06,E10,0.047244094488188976
K51,K20,0.02284263959390863
G40,G41,0.03938730853391685
D69,D61,0.053763440860215055
D70,D61,0.07142857142857142
D61,C22,0.0297029702970297
D61,C49,0.07894736842105263
C79,C50,0.024193548387096774
C79,D05,0.13636363636363635
E10,E16,0.11403508771929824
E10,E14,0.14676616915422885
E10,E11,0.22093023255813954
E10,G63,0.05357142857142857
E16,E14,0.03278688524590164
E14,E11,0.1670886075949367
E11,E66,0.08
E11,E13,0.1157556270096463
E11,G63,0.08256880733944955
E11,N08,0.07453416149068323
E13,G63,0.045081967213114756
F10,F12,0.1206896551724138
F10,F11,0.1326530612244898
F10,F14,0.1935483870967742
F10,F19,0.06521739130434782
F10,F31,0.1773049645390071
F12,F11,0.26666666666666666
F12,F14,0.2391304347826087
F12,F19,0.15789473684210525
E66,G47,0.04745762711864407
E66,I10,0.05459770114942529
E66,K76,0.035483870967741936
H90,H91,0.15841584158415842
H90,H81,0.049689440993788817
F81,F70,0.1337579617834395
E78,K80,0.07058823529411765
E78,I21,0.028846153846153848
E78,I25,0.07444168734491315
I10,K76,0.06521739130434782
I10,N18,0.1358695652173913
I10,I11,0.061068702290076333
I10,I20,0.1111111111111111
I10,I63,0.0425531914893617
K80,K81,0.12903225806451613
K80,K83,0.04580152671755725
K80,K85,0.06422018348623854
K80,K86,0.037037037037037035
M51,M48,0.08108108108108109
K42,K43,0.19047619047619047
F48,F34,0.041237113402061855
H91,H93,0.03482587064676617
H91,H81,0.03164556962025317
N80,N94,0.03296703296703297
D25,N84,0.09302325581395349
L98,L97,0.07692307692307693
H52,H33,0.00911854103343465
J30,L20,0.14225053078556263
I21,I25,0.011627906976744186
I21,I63,0.05714285714285714
I21,I20,0.015625
I21,I51,0.00929368029739777
I25,I63,0.03125
I25,I50,0.13561643835616438
I25,I20,0.2907488986784141
I25,I51,0.14041994750656167
I63,I20,0.041666666666666664
I63,I64,0.1568627450980392
N18,E21,0.0380952380952381
N18,N19,0.34444444444444444
N18,I12,0.13043478260869565
N18,N25,0.042105263157894736
I11,I20,0.03488372093023256
I20,I47,0.027874564459930314
I20,I50,0.1278538812785388
I20,I51,0.13848396501457727
I47,I49,0.14189189189189189
K81,K83,0.06060606060606061
K82,K83,0.06766917293233082
K85,K86,0.09803921568627451
F11,F19,0.3157894736842105
F11,F14,0.4074074074074074
F14,F19,0.3157894736842105
K70,K74,0.08602150537634409
K26,K25,0.19047619047619047
F03,F00,0.08278145695364239
F03,G30,0.0515695067264574
F03,G31,0.028169014084507043
F60,F91,0.14285714285714285
E21,N19,0.058823529411764705
I12,N25,0.17391304347826086
K21,K44,0.04918032786885246
K21,K58,0.05084745762711865
K21,K22,0.06358381502890173
K44,K92,0.056451612903225805
K44,K22,0.04938271604938271
M48,M47,0.08333333333333333
D06,C53,0.07142857142857142
N87,C53,0.06896551724137931
C73,E05,0.06666666666666667
N60,N64,0.125
C50,D05,0.08270676691729323
I26,I80,0.14285714285714285
I26,I82,0.10810810810810811
I80,I82,0.15254237288135594
D12,C18,0.14035087719298245
L93,M32,0.10954063604240283
C22,C49,0.039603960396039604
C71,D43,0.2
I42,I50,0.08689839572192513
I50,I44,0.015841584158415842
I50,I51,0.16496018202502843
I50,J81,0.01195219123505976
H25,H40,0.008389261744966443
I73,I70,0.1388888888888889
I73,I74,0.047619047619047616
M06,M05,0.7331838565022422
M06,M13,0.0395010395010395
M05,M13,0.03513513513513514
H34,H44,0.031578947368421054
C18,C20,0.140625
C82,C85,0.35555555555555557
C43,D22,0.03260869565217391
C43,C44,0.11428571428571428
C43,L57,0.14482758620689656
C44,L57,0.2826086956521739
I67,I72,0.08064516129032258
G20,G21,0.020905923344947737
I35,I71,0.08771929824561403
F00,G30,0.6305418719211823
F01,G30,0.014634146341463415
