icd_1,icd_2,ji
K43,K42,0.19047619047619047
K76,E66,0.035483870967741936
K76,I10,0.06521739130434782
I25,I50,0.13561643835616438
I25,I20,0.2907488986784141
I25,I21,0.011627906976744186
D61,D69,0.053763440860215055
D61,D70,0.07142857142857142
N25,N18,0.042105263157894736
N18,N19,0.34444444444444444
C82,C85,0.35555555555555557
J36,J35,0.13043478260869565
K25,K26,0.19047619047619047
G47,E66,0.04745762711864407
C71,D43,0.2
J18,J96,0.04504504504504504
H52,H33,0.00911854103343465
E66,I10,0.05459770114942529
E66,E11,0.08
H25,H40,0.008389261744966443
H34,H44,0.031578947368421054
C44,L57,0.2826086956521739
D22,C43,0.03260869565217391
E11,E13,0.1157556270096463
E11,G63,0.08256880733944955
E11,N08,0.07453416149068323
I50,I42,0.08689839572192513
I50,I44,0.015841584158415842
I50,I51,0.16496018202502843
I50,J81,0.01195219123505976
I10,I11,0.061068702290076333
M48,M51,0.08108108108108109
M48,M47,0.08333333333333333
E10,E14,0.14676616915422885
E10,E16,0.11403508771929824
E14,E16,0.03278688524590164
E13,G63,0.045081967213114756
H81,H90,0.049689440993788817
H81,H91,0.03164556962025317
H90,H91,0.15841584158415842
H91,H93,0.03482587064676617
F10,F12,0.1206896551724138
F10,F13,0.06521739130434782
F10,F31,0.1773049645390071
F12,F11,0.26666666666666666
F12,F13,0.15789473684210525
F12,F19,0.15789473684210525
F12,F14,0.2391304347826087
I70,I73,0.1388888888888889
I71,I35,0.08771929824561403
L97,L98,0.07692307692307693
K86,K80,0.037037037037037035
K86,K85,0.09803921568627451
K83,K80,0.04580152671755725
K83,K81,0.06060606060606061
K83,K82,0.06766917293233082
K80,K81,0.12903225806451613
K80,K85,0.06422018348623854
G41,G40,0.03938730853391685
L03,G63,0.1111111111111111
L03,M86,0.1111111111111111
F13,F11,0.3157894736842105
F13,F19,1.0
F13,F14,0.3157894736842105
G20,G21,0.020905923344947737
I73,I74,0.047619047619047616
F81,F70,0.1337579617834395
F11,F19,0.3157894736842105
F11,F14,0.4074074074074074
F19,F14,0.3157894736842105
I20,I21,0.015625
K21,K44,0.04918032786885246
K21,K22,0.06358381502890173
K44,K22,0.04938271604938271
I84,K64,0.8421052631578947
K70,K74,0.08602150537634409
I26,I80,0.14285714285714285
I26,I82,0.10810810810810811
I80,I82,0.15254237288135594
E04,E05,0.125
C18,C20,0.140625
I63,I64,0.1568627450980392
G30,F00,0.6305418719211823
